Aardvark,72.77,0.01
African Giant Pouched Rat,2.21,0.01
Arctic Fox,7.46,0.1
Arctic Ground Squirrel,2.03,0.01
Asian Elephant,5616.14,10.13
Baboon,23.26,0.39
Big Brown Bat,0.05,0.0
Brazilian Tapir,352.8,0.37
Cat,7.28,0.06
Chimpanzee,115.01,0.97
Chinchilla,0.94,0.01
Cow,1025.33,0.93
Desert Hedgehog,1.21,0.01
Donkey,412.56,0.92
Eastern American Mole,0.17,0.0
Echidna,6.62,0.06
European Hedgehog,1.73,0.01
Galago,0.44,0.01
Genet,3.11,0.04
Giant Armadillo,132.3,0.18
Giraffe,1166.44,1.5
Goat,60.99,0.25
Golden Hamster,0.26,0.0
Gorilla,456.44,0.89
Gray Seal,187.43,0.72
Gray Wolf,80.11,0.26
Ground Squirrel,0.22,0.01
Guinea Pig,2.29,0.01
Horse,1148.81,1.44
Jaguar,220.5,0.35
Kangaroo,77.17,0.12
Lesser Short-Tailed Shrew,0.01,0.0
Little Brown Bat,0.02,0.0
Man,136.71,2.9
Mole Rat,0.27,0.01
Mountain Beaver,2.98,0.02
Mouse,0.05,0.0
Musk Shrew,0.11,0.0
N. American Opossum,3.75,0.01
Nine-Banded Armadillo,7.72,0.02
Okapi,551.25,1.08
Owl Monkey,1.06,0.03
Patas Monkey,22.05,0.25
Phanlanger,3.57,0.03
Pig,423.36,0.4
Rabbit,5.51,0.03
Raccoon,9.46,0.09
Rat,0.62,0.0
Red Fox,9.34,0.11
Rhesus Monkey,14.99,0.39
Rock Hyrax (Hetero. B),1.65,0.03
Rock Hyrax (Procavia Hab),7.94,0.05
Rocket,37.71,1.98
Roe Deer,32.7,0.22
Slow Loris,3.09,0.03
Star Nosed Mole,0.13,0.0
Tenrec,1.98,0.01
Tree Hyrax,4.41,0.03
Tree Shrew,0.23,0.01
Vervet,9.24,0.13
Water Opossum,7.72,0.01
Yellow Warbler,0.95,0.0
